starttime,stoptime,ss_lat,ss_long,es_lat,es_long
2013-07-01T00:44:33,2013-07-01T01:15:23,40.75066386,-74.00176802,40.7568001,-73.98291153
2013-07-01T00:44:46,2013-07-01T00:47:51,40.69239502,-73.99337909,40.69760127,-73.99344559
2013-07-01T00:45:16,2013-07-01T01:08:53,40.74195138,-74.00803013,40.71754834,-74.01322069
2013-07-01T00:45:19,2013-07-01T01:02:53,40.76915505,-73.98191841,40.734232,-73.986923
2013-07-01T00:45:28,2013-07-01T00:52:52,40.695065,-73.987167,40.7172274,-73.98802084
2013-07-01T00:45:42,2013-07-01T01:08:08,40.7158155,-73.99422366,40.693261,-73.968896
2013-07-01T00:45:44,2013-07-01T08:29:07,40.72743423,-73.99379025,40.7454973,-74.00197139
2013-07-01T00:46:00,2013-07-01T00:59:51,40.72467721,-73.98783413,40.71729,-73.996375
2013-07-01T00:46:05,2013-07-01T01:47:15,40.73223272,-73.98889957,40.68382604,-73.97632328
2013-07-01T00:46:23,2013-07-01T01:17:58,40.72679454,-73.99695094,40.75513557,-73.98658032
2013-07-01T00:46:29,2013-07-01T00:48:59,40.72453734,-73.98185424,40.72453734,-73.98185424
2013-07-01T00:46:36,2013-07-01T01:06:15,40.7489006,-73.97604882,40.770513,-73.988038
2013-07-01T00:46:45,2013-07-01T01:10:20,40.75527307,-73.98316936,40.71911552,-74.00666661
2013-07-01T00:47:21,2013-07-01T01:00:23,40.75038009,-73.98338988,40.75797322,-73.96603308
2013-07-01T00:47:37,2013-07-01T00:57:42,40.69236178,-73.98631746,40.69363137,-73.96223558
2013-07-01T00:48:18,2013-07-01T01:06:17,40.696192,-73.991218,40.75797322,-73.96603308
2013-07-01T00:48:22,2013-07-01T17:06:47,40.73223272,-73.98889957,40.6809833854,-73.9500479759
2013-07-01T00:48:33,2013-07-01T01:13:51,40.72938685,-73.97772429,40.76341379,-73.99667444
2013-07-01T00:48:36,2013-07-01T01:20:48,40.72490985,-74.00154702,40.70717936,-74.00887308
2013-07-01T00:48:48,2013-07-01T01:01:14,40.72019576,-73.98997825,40.71427487,-73.98990025
2013-07-01T00:48:58,2013-07-01T01:03:12,40.75066386,-74.00176802,40.73726186,-73.99238967
2013-07-01T00:49:01,2013-07-01T01:05:38,40.7390169121,-74.0026376103,40.73401143,-74.00293877
2013-07-01T00:49:08,2013-07-01T01:03:43,40.7390169121,-74.0026376103,40.73912601,-73.97973776
2013-07-01T00:49:13,2013-07-01T01:10:50,40.72467721,-73.98783413,40.72467721,-73.98783413
2013-07-01T00:49:18,2013-07-01T00:59:22,40.72066442,-73.98517977,40.71307916,-73.99851193
2013-07-01T00:50:06,2013-07-01T01:15:14,40.76009437,-73.99461843,40.72873888,-74.00748842
2013-07-01T00:50:26,2013-07-01T01:18:13,40.70853074,-73.96408963,40.734232,-73.986923
2013-07-01T00:50:31,2013-07-01T01:05:45,40.72621788,-73.98379855,40.74734825,-73.99723551
2013-07-01T00:50:36,2013-07-01T00:56:16,40.71307916,-73.99851193,40.70706456,-74.00731853
2013-07-01T00:51:14,2013-07-01T00:56:44,40.7568001,-73.98291153,40.74780373,-73.9734419
2013-07-01T00:51:28,2013-07-01T00:53:36,40.72502876,-73.99069656,40.72467721,-73.98783413
2013-07-01T00:52:06,2013-07-01T01:11:59,40.72066442,-73.98517977,40.73935542,-73.99931783
2013-07-01T00:52:20,2013-07-01T01:01:30,40.7500727,-73.99839279,40.74780373,-73.9734419
2013-07-01T00:52:30,2013-07-01T01:12:02,40.72066442,-73.98517977,40.73935542,-73.99931783
2013-07-01T00:52:38,2013-07-01T01:26:08,40.7457121,-73.98194829,40.72066442,-73.98517977
2013-07-01T00:52:50,2013-07-01T01:21:42,40.7457121,-73.98194829,40.72453734,-73.98185424
2013-07-01T00:53:14,2013-07-01T01:05:26,40.71146364,-74.00552427,40.70530954,-74.00612572
2013-07-01T00:53:23,2013-07-01T01:20:03,40.76344058,-73.98268129,40.70905623,-74.01043382
2013-07-01T00:53:26,2013-07-01T01:20:05,40.76344058,-73.98268129,40.70905623,-74.01043382
2013-07-01T00:53:26,2013-07-01T01:02:40,40.7405826,-74.00550867,40.7405826,-74.00550867
2013-07-01T00:53:35,2013-07-01T00:58:28,40.7454973,-74.00197139,40.7390169121,-74.0026376103
2013-07-01T00:53:36,2013-07-01T01:15:05,40.75044999,-73.99481051,40.76915505,-73.98191841
2013-07-01T00:53:53,2013-07-01T01:08:21,40.76009437,-73.99461843,40.7390169121,-74.0026376103
2013-07-01T00:53:58,2013-07-01T01:04:05,40.71910537,-73.99973337,40.71406667,-73.99293911
2013-07-01T00:54:34,2013-07-01T01:14:59,40.75044999,-73.99481051,40.76915505,-73.98191841
2013-07-01T00:54:46,2013-07-01T01:07:10,40.71926081,-73.98178024,40.73401143,-74.00293877
2013-07-01T00:54:47,2013-07-01T01:03:44,40.73047309,-73.98672378,40.73704984,-73.99009296
2013-07-01T00:55:36,2013-07-01T01:01:11,40.7149787,-74.013012,40.71743998,-74.00583475
2013-07-01T00:55:53,2013-07-01T01:13:30,40.73038599,-74.00214988,40.71273266,-74.0046073
2013-07-01T00:55:56,2013-07-01T01:20:43,40.72490985,-74.00154702,40.70717936,-74.00887308
2013-07-01T00:56:34,2013-07-01T01:17:33,40.71542197,-74.01121978,40.749717753,-74.002950346
2013-07-01T00:57:20,2013-07-01T01:04:37,40.76019252,-73.9912551,40.7568001,-73.98291153
2013-07-01T00:57:55,2013-07-01T01:01:45,40.76584941,-73.98690506,40.76341379,-73.99667444
2013-07-01T00:58:34,2013-07-01T01:06:46,40.73971301,-73.99456405,40.7500727,-73.99839279
2013-07-01T00:58:44,2013-07-01T01:14:43,40.680342423,-73.9557689392,40.680342423,-73.9557689392
2013-07-01T00:58:44,2013-07-01T01:03:41,40.73047309,-73.98672378,40.73524276,-73.98758561
2013-07-01T00:58:48,2013-07-01T01:11:40,40.73223272,-73.98889957,40.74147286,-73.98320928
2013-07-01T00:59:11,2013-07-01T01:05:19,40.72066442,-73.98517977,40.746745,-74.007756
2013-07-01T00:59:31,2013-07-01T01:28:14,40.739323,-74.008119,40.71602118,-73.99974372
2013-07-01T00:59:41,2013-07-01T01:06:45,40.76340613,-73.97722479,40.770513,-73.988038
2013-07-01T01:00:14,2013-07-01T01:11:04,40.739323,-74.008119,40.72043411,-74.01020609
2013-07-01T01:00:53,2013-07-01T01:21:12,40.76030096,-73.99884222,40.70717936,-74.00887308
2013-07-01T01:01:25,2013-07-01T01:14:49,40.73223272,-73.98889957,40.72066442,-73.98517977
2013-07-01T01:03:24,2013-07-01T01:08:25,40.76344058,-73.98268129,40.74025878,-73.98409214
2013-07-01T01:03:43,2013-07-01T01:11:24,40.73704984,-73.99009296,40.746647,-73.993915
2013-07-01T01:04:27,2013-07-01T01:22:36,40.751396,-74.005226,40.73331967,-73.99510132
2013-07-01T01:04:37,2013-07-01T01:23:05,40.71911552,-74.00666661,40.73331967,-73.99510132
2013-07-01T01:04:42,2013-07-01T01:28:39,40.7262807,-73.98978041,40.7262807,-73.98978041
2013-07-01T01:05:02,2013-07-01T01:12:55,40.689888,-73.981013,40.73492695,-73.99200509
2013-07-01T01:05:14,2013-07-01T01:22:43,40.71911552,-74.00666661,40.73331967,-73.99510132
2013-07-01T01:06:30,2013-07-01T01:27:36,40.76227205,-73.98788205,40.73047747,-73.99906065
2013-07-01T01:06:30,2013-07-01T01:24:21,40.72621788,-73.98379855,40.74734825,-73.99723551
2013-07-01T01:08:03,2013-07-01T01:32:21,40.71754834,-74.01322069,40.74177603,-74.00149746
2013-07-01T01:08:34,2013-07-01T01:24:30,40.76020258,-73.96478473,40.75797322,-73.96603308
2013-07-01T01:08:37,2013-07-01T01:11:23,40.73401143,-74.00293877,40.73781509,-73.99994661
2013-07-01T01:08:44,2013-07-01T01:21:47,40.73047309,-73.98672378,40.7172274,-73.98802084
2013-07-01T01:08:59,2013-07-01T01:21:36,40.73047309,-73.98672378,40.7172274,-73.98802084
2013-07-01T01:09:01,2013-07-01T01:22:57,40.74444921,-73.98303529,40.72953837,-73.98426726
2013-07-01T01:09:15,2013-07-01T01:28:37,40.74475148,-73.99915362,40.75527307,-73.98316936
2013-07-01T01:09:23,2013-07-01T01:20:40,40.76019252,-73.9912551,40.75044999,-73.99481051
2013-07-01T01:09:33,2013-07-01T14:55:39,40.72019576,-73.98997825,40.75001986,-73.96905301
2013-07-01T01:09:38,2013-07-01T01:14:54,40.74147286,-73.98320928,40.73261787,-73.99158043
2013-07-01T01:09:39,2013-07-01T01:12:33,40.693261,-73.968896,40.68940747,-73.96885458
2013-07-01T01:10:20,2013-07-01T01:23:45,40.74147286,-73.98320928,40.72066442,-73.98517977
2013-07-01T01:10:35,2013-07-01T01:25:15,40.72917025,-73.99810231,40.73028666,-73.9907647
2013-07-01T01:11:03,2013-07-01T01:16:16,40.76019252,-73.9912551,40.7568001,-73.98291153
